,year,month,day,hour,minute,second,lat,lon,depth_km,mag
88,1970,5,12,14,6,58,-28.2166,-71.2029,58708.2,4.6
89,1970,5,16,6,0,19,-23.9621,-66.7209,195000.0,4.5
90,1970,5,16,19,42,55,-32.9271,-70.8985,100000.0,4.5
91,1970,5,17,9,12,44,-33.6767,-68.4167,40386.8,5.23
92,1970,5,17,21,24,24,-7.1505,-80.8117,35000.0,4.91
93,1970,5,18,11,15,5,-36.2624,-70.9982,100000.0,4.77
94,1970,5,20,22,2,10,5.7382,-77.462,31226.0,5.07
95,1970,5,22,14,8,59,3.2694,-82.7969,10000.0,4.62
96,1970,5,22,20,41,57,-1.6431,-78.1363,170000.0,4.5
97,1970,5,23,13,44,0,-30.9875,-71.8789,50000.0,4.55
98,1970,5,26,9,47,3,-16.0643,-70.7293,170000.0,4.46
99,1970,5,27,9,52,41,-6.3002,-76.645,120000.0,4.41
100,1970,5,31,20,23,30,-9.2775,-78.823,59075.5,7.175
101,1970,5,31,20,45,52,-10.0304,-78.4391,47365.3,5.94
102,1970,5,31,21,3,45,-10.2075,-79.2311,35000.0,5.6
103,1970,5,31,21,23,41,-10.0948,-78.8074,45505.7,5.22
104,1970,5,31,21,45,4,-9.8052,-78.2824,55000.0,4.68
105,1970,5,31,21,48,5,-10.259,-78.6177,46192.9,5.52
106,1970,5,31,23,19,34,-9.9372,-78.6631,52936.3,4.9
107,1970,6,1,0,41,11,-9.8671,-78.6688,55000.0,4.97
108,1970,6,1,0,56,43,-9.9041,-78.9754,62602.5,5.0
109,1970,6,1,1,12,32,-10.0349,-78.5738,55000.0,5.1
110,1970,6,1,1,36,11,-9.3041,-79.1015,42808.9,6.03
111,1970,6,1,2,21,41,-10.0431,-78.6477,62964.1,5.05
112,1970,6,1,2,45,19,-10.174,-78.7012,41457.4,5.71
113,1970,6,1,4,44,48,-10.268,-78.8275,55872.2,5.6
114,1970,6,1,5,15,30,-10.2346,-78.6345,44121.3,5.1
